age,income,credit_score,claim_history,vehicle_value,price
56,667069,826,1,1270579,67920
69,849245,736,2,738188,41217
46,584385,773,0,1069173,34652
32,826135,604,1,1500246,57266
60,440682,788,2,918116,41259
25,657721,678,1,702362,36762
38,794962,760,3,651446,60219
56,756898,545,1,1239661,53333
36,218360,756,2,803829,51514
40,568298,498,1,1044894,53886
28,1203238,675,0,784774,25767
28,552266,546,0,1369578,58630
41,704742,756,1,960086,48954
53,673973,706,1,1471267,68940
57,1170471,630,0,1456617,49449
41,1087110,829,1,864742,42082
20,942259,619,2,1433337,82758
39,408027,427,1,764892,43159
19,807754,746,3,1006458,69229
41,870382,541,3,588117,38613
61,490418,622,0,1137422,49858
47,438844,653,1,1020518,54443
55,1211504,571,1,1105679,44790
19,609759,655,0,355948,10000
38,1184493,573,0,200000,20430
50,999128,714,1,446947,16947
29,822363,589,0,1099647,34290
39,835759,702,2,1169381,59900
61,279874,804,1,1351734,54025
42,762032,770,2,738195,23112
66,1125106,692,5,983456,84347
44,904401,611,1,619589,35106
59,746301,714,1,1446958,52272
45,1213581,637,2,616260,33887
33,644487,718,0,1371411,40455
32,514133,545,2,799475,36263
64,746149,772,1,1530098,58173
68,929940,702,1,973183,45967
61,184661,850,1,964434,56563
69,785460,817,1,598367,22768
20,943103,750,1,1766806,81796
54,619107,688,1,1296326,61215
68,1032089,634,1,1104782,30697
24,892355,784,3,995821,48562
38,1342414,679,1,635706,44766
26,474819,805,0,1169308,36482
56,949212,736,3,873318,56284
35,394802,736,0,923008,35652
21,215390,753,3,1256388,56544
42,150000,617,2,1013781,47262
31,861497,608,1,907260,45760
67,755274,604,2,1474259,65714
26,556284,794,4,572451,41821
43,167948,614,1,238049,10000
19,492884,626,0,581600,15136
37,701227,748,4,960816,61464
45,937950,677,2,1177820,44013
64,695039,665,3,602354,49411
24,775618,658,3,2374986,119732
61,587160,490,4,972864,67992
25,1224767,612,0,960712,28985
64,394525,806,1,384146,26594
52,490228,651,1,322880,10000
31,552292,528,1,200000,10000
34,862811,609,1,1448567,51352
53,388342,732,0,1384980,30243
67,740715,730,1,899418,42620
57,749473,673,1,414035,19768
21,491692,637,5,788989,69837
19,798993,573,1,1468575,71913
23,397655,733,2,698338,39404
59,364877,775,2,539182,26534
21,729881,815,2,747599,41814
46,202073,600,3,782855,45907
35,150000,822,2,1195234,67354
43,859849,694,1,200000,10000
61,1014690,702,1,967731,40572
51,559959,780,2,621274,38433
27,499578,651,1,685783,49289
53,1001660,505,3,1201783,63497
31,356338,763,4,379276,25466
48,290988,731,2,971972,47675
65,912290,667,1,1092509,40898
32,702711,756,0,1131842,45323
25,1019463,774,1,1182746,50885
31,150000,563,1,1128762,41063
40,279797,702,0,1187706,48773
57,704299,495,0,547679,35287
38,825302,688,0,1446269,45230
33,954099,666,1,426174,22632
62,752445,744,3,1048137,43480
35,749396,603,1,627643,25604
64,583179,662,1,212874,13917
41,1177271,410,1,671956,30539
43,369092,750,2,852619,45048
42,807706,692,5,1454763,98210
62,403657,707,2,1627869,88550
58,860433,565,3,848143,49825
46,388894,735,3,344388,17433
32,923144,848,1,377551,17048
62,733631,683,2,1208747,67574
18,1223391,758,1,1183262,55594
42,615694,621,0,657052,19706
24,827489,693,1,430308,34928
26,466103,562,5,1296909,96821
41,613632,770,1,408804,10000
18,731724,714,2,722275,44159
61,241834,590,1,1089396,46996
25,274712,627,2,200000,14934
41,879957,705,5,1281339,101317
28,656173,783,0,1852112,62470
68,522122,833,1,945555,37124
34,478904,687,2,886138,35738
25,490453,577,1,917730,36417
52,733765,721,3,989939,60435
52,833510,850,2,608010,27596
50,150000,553,4,450266,26961
22,1123850,614,2,758756,47110
59,1102510,754,0,961440,39292
56,150000,713,1,500635,28644
58,1025778,650,2,361356,15150
45,1016565,719,1,723831,31485
24,700133,787,3,366635,30526
26,310849,691,1,1168718,54993
25,1004568,683,4,200000,30730
29,627630,753,2,432746,13946
51,864663,675,0,1465411,66255
50,1365760,802,3,811312,39363
65,775551,850,0,973571,20314
40,424934,619,1,848432,13975
41,599280,587,3,649072,48535
54,463166,733,0,1338077,58820
52,830046,584,4,671255,46769
61,458179,582,0,568607,10000
57,558144,515,4,1162704,86545
39,314670,665,2,200000,10000
44,660373,697,2,785830,46174
52,753026,653,2,692417,30003
18,150000,825,1,778338,30993
52,777872,818,1,704646,32758
54,686289,850,0,1050035,38596
64,470502,704,4,1339874,87212
31,1308588,806,1,1083734,56841
20,987542,727,0,765234,41773
18,371079,718,1,1152573,65230
22,951471,657,1,1199436,51584
43,1073349,496,1,1044371,47545
31,739606,757,0,1319459,57319
56,808432,803,1,200000,10000
44,801504,562,2,910705,44637
26,150000,699,3,1023141,61058
32,643939,789,1,307505,14690
32,628326,667,0,988308,33172
43,1129046,807,2,1265980,53650
59,800118,687,2,810450,49234
30,610716,652,1,1162615,46777
68,672962,812,0,1309101,46543
49,1007015,615,1,1436985,61427
56,644624,634,2,1364861,73238
66,490541,619,0,1446242,56170
69,617289,597,4,700180,51246
49,982208,713,0,743947,23069
21,848849,653,4,200000,25660
47,713280,743,3,473932,24375
54,757461,543,1,1387379,53996
40,532077,598,0,658057,28262
56,641815,704,1,1059035,47549
62,501008,832,1,996290,33693
32,611566,734,3,1396274,77079
60,1103853,646,3,200000,10000
46,376638,565,0,1041052,39854
53,493384,641,1,1034546,42118
30,323710,696,2,556881,48120
49,258727,487,1,1284098,62157
24,643968,590,3,340385,20618
68,514717,633,2,1325814,58356
39,1228506,676,2,200000,20341
45,615146,695,0,538031,26208
19,1086819,645,1,844044,53140
59,990401,745,2,987063,58916
62,637313,711,1,200000,14626
23,1333040,666,1,1317163,69178
45,780560,757,1,1201424,50826
45,1153902,750,6,1661325,128670
61,1118979,569,0,1180844,33716
61,824394,697,0,605435,33632
37,925339,780,2,471480,27863
47,887221,795,5,731763,60872
28,356721,733,1,1772326,67635
45,717187,679,1,919042,49592
42,1022274,737,3,936101,63575
56,1157855,772,1,1451784,52690
50,483808,710,0,434188,19498
18,858649,720,1,1115584,55178
44,745261,677,0,1106537,29637
69,664637,579,1,1282942,60781
30,806800,684,3,1240917,74714
58,765399,639,1,876523,43408
20,862422,639,2,346754,38491
56,1132515,829,2,674047,58983
23,935238,785,2,1236838,71843
25,793177,547,1,1641750,73003
44,1259387,602,2,410826,30116
26,1032978,667,1,384491,21818
54,672280,642,0,270438,28579
50,334863,728,0,593180,22323
68,403650,588,3,1279024,71102
59,979969,786,2,1426476,72789
61,510906,696,1,200000,27545
41,397583,669,0,417930,10000
32,472574,698,2,343108,16162
49,493784,662,1,552929,19345
49,955194,517,1,811060,27170
41,652977,701,1,741033,24862
58,288287,671,2,1105527,63805
69,709313,614,3,200000,22180
